Puits;Souche;Replicat;Groupe;Temperature
101;Blank;1;SC;25
102;ho;1;SC;25
103;rad14;1;SC;25
104;rev1;1;SC;25
105;mag1;1;SC;25
106;cmd1-1;1;SC;25
107;cmd1-3;1;SC;25
108;cmd1-8;1;SC;25
109;cmp2;1;SC;25
110;cna1;1;SC;25
111;cnb1;1;SC;25
112;cna1cnb1;1;SC;25
113;Blank;2;SC;25
114;ho;2;SC;25
115;rad14;2;SC;25
116;rev1;2;SC;25
117;mag1;2;SC;25
118;cmd1-1;2;SC;25
119;cmd1-3;2;SC;25
120;cmd1-8;2;SC;25
121;cmp2;2;SC;25
122;cna1;2;SC;25
123;cnb1;2;SC;25
124;cna1cnb1;2;SC;25
125;Blank;3;SC;25
126;ho;3;SC;25
127;rad14;3;SC;25
128;rev1;3;SC;25
129;mag1;3;SC;25
130;cmd1-1;3;SC;25
131;cmd1-3;3;SC;25
132;cmd1-8;3;SC;25
133;cmp2;3;SC;25
134;cna1;3;SC;25
135;cnb1;3;SC;25
136;cna1cnb1;3;SC;25
137;Blank;4;SC;25
138;ho;4;SC;25
139;rad14;4;SC;25
140;rev1;4;SC;25
141;mag1;4;SC;25
142;cmd1-1;4;SC;25
143;cmd1-3;4;SC;25
144;cmd1-8;4;SC;25
145;cmp2;4;SC;25
146;cna1;4;SC;25
147;cnb1;4;SC;25
148;cna1cnb1;4;SC;25
149;Blank;1;SC;25
150;Blank;1;SC;25
151;Blank;1;SC+0.004%MMS;25
152;ho;1;SC+0.004%MMS;25
153;rad14;1;SC+0.004%MMS;25
154;rev1;1;SC+0.004%MMS;25
155;mag1;1;SC+0.004%MMS;25
156;cmd1-1;1;SC+0.004%MMS;25
157;cmd1-3;1;SC+0.004%MMS;25
158;cmd1-8;1;SC+0.004%MMS;25
159;cmp2;1;SC+0.004%MMS;25
160;cna1;1;SC+0.004%MMS;25
161;cnb1;1;SC+0.004%MMS;25
162;cna1cnb1;1;SC+0.004%MMS;25
163;Blank;2;SC+0.004%MMS;25
164;ho;2;SC+0.004%MMS;25
165;rad14;2;SC+0.004%MMS;25
166;rev1;2;SC+0.004%MMS;25
167;mag1;2;SC+0.004%MMS;25
168;cmd1-1;2;SC+0.004%MMS;25
169;cmd1-3;2;SC+0.004%MMS;25
170;cmd1-8;2;SC+0.004%MMS;25
171;cmp2;2;SC+0.004%MMS;25
172;cna1;2;SC+0.004%MMS;25
173;cnb1;2;SC+0.004%MMS;25
174;cna1cnb1;2;SC+0.004%MMS;25
175;Blank;3;SC+0.004%MMS;25
176;ho;3;SC+0.004%MMS;25
177;rad14;3;SC+0.004%MMS;25
178;rev1;3;SC+0.004%MMS;25
179;mag1;3;SC+0.004%MMS;25
180;cmd1-1;3;SC+0.004%MMS;25
181;cmd1-3;3;SC+0.004%MMS;25
182;cmd1-8;3;SC+0.004%MMS;25
183;cmp2;3;SC+0.004%MMS;25
184;cna1;3;SC+0.004%MMS;25
185;cnb1;3;SC+0.004%MMS;25
186;cna1cnb1;3;SC+0.004%MMS;25
187;Blank;4;SC+0.004%MMS;25
188;ho;4;SC+0.004%MMS;25
189;rad14;4;SC+0.004%MMS;25
190;rev1;4;SC+0.004%MMS;25
191;mag1;4;SC+0.004%MMS;25
192;cmd1-1;4;SC+0.004%MMS;25
193;cmd1-3;4;SC+0.004%MMS;25
194;cmd1-8;4;SC+0.004%MMS;25
195;cmp2;4;SC+0.004%MMS;25
196;cna1;4;SC+0.004%MMS;25
197;cnb1;4;SC+0.004%MMS;25
198;cna1cnb1;4;SC+0.004%MMS;25
199;Blank;1;SC+0.004%MMS;25
200;Blank;1;SC+0.004%MMS;25
201;Blank;1;SC+0.010%MMS;25
202;ho;1;SC+0.010%MMS;25
203;rad14;1;SC+0.010%MMS;25
204;rev1;1;SC+0.010%MMS;25
205;mag1;1;SC+0.010%MMS;25
206;cmd1-1;1;SC+0.010%MMS;25
207;cmd1-3;1;SC+0.010%MMS;25
208;cmd1-8;1;SC+0.010%MMS;25
209;cmp2;1;SC+0.010%MMS;25
210;cna1;1;SC+0.010%MMS;25
211;cnb1;1;SC+0.010%MMS;25
212;cna1cnb1;1;SC+0.010%MMS;25
213;Blank;2;SC+0.010%MMS;25
214;ho;2;SC+0.010%MMS;25
215;rad14;2;SC+0.010%MMS;25
216;rev1;2;SC+0.010%MMS;25
217;mag1;2;SC+0.010%MMS;25
218;cmd1-1;2;SC+0.010%MMS;25
219;cmd1-3;2;SC+0.010%MMS;25
220;cmd1-8;2;SC+0.010%MMS;25
221;cmp2;2;SC+0.010%MMS;25
222;cna1;2;SC+0.010%MMS;25
223;cnb1;2;SC+0.010%MMS;25
224;cna1cnb1;2;SC+0.010%MMS;25
225;Blank;3;SC+0.010%MMS;25
226;ho;3;SC+0.010%MMS;25
227;rad14;3;SC+0.010%MMS;25
228;rev1;3;SC+0.010%MMS;25
229;mag1;3;SC+0.010%MMS;25
230;cmd1-1;3;SC+0.010%MMS;25
231;cmd1-3;3;SC+0.010%MMS;25
232;cmd1-8;3;SC+0.010%MMS;25
233;cmp2;3;SC+0.010%MMS;25
234;cna1;3;SC+0.010%MMS;25
235;cnb1;3;SC+0.010%MMS;25
236;cna1cnb1;3;SC+0.010%MMS;25
237;Blank;4;SC+0.010%MMS;25
238;ho;4;SC+0.010%MMS;25
239;rad14;4;SC+0.010%MMS;25
240;rev1;4;SC+0.010%MMS;25
241;mag1;4;SC+0.010%MMS;25
242;cmd1-1;4;SC+0.010%MMS;25
243;cmd1-3;4;SC+0.010%MMS;25
244;cmd1-8;4;SC+0.010%MMS;25
245;cmp2;4;SC+0.010%MMS;25
246;cna1;4;SC+0.010%MMS;25
247;cnb1;4;SC+0.010%MMS;25
248;cna1cnb1;4;SC+0.010%MMS;25
249;Blank;1;SC+0.010%MMS;25
250;Blank;1;SC+0.010%MMS;25
251;Blank;1;SC+0.016%MMS;25
252;ho;1;SC+0.016%MMS;25
253;rad14;1;SC+0.016%MMS;25
254;rev1;1;SC+0.016%MMS;25
255;mag1;1;SC+0.016%MMS;25
256;cmd1-1;1;SC+0.016%MMS;25
257;cmd1-3;1;SC+0.016%MMS;25
258;cmd1-8;1;SC+0.016%MMS;25
259;cmp2;1;SC+0.016%MMS;25
260;cna1;1;SC+0.016%MMS;25
261;cnb1;1;SC+0.016%MMS;25
262;cna1cnb1;1;SC+0.016%MMS;25
263;Blank;2;SC+0.016%MMS;25
264;ho;2;SC+0.016%MMS;25
265;rad14;2;SC+0.016%MMS;25
266;rev1;2;SC+0.016%MMS;25
267;mag1;2;SC+0.016%MMS;25
268;cmd1-1;2;SC+0.016%MMS;25
269;cmd1-3;2;SC+0.016%MMS;25
270;cmd1-8;2;SC+0.016%MMS;25
271;cmp2;2;SC+0.016%MMS;25
272;cna1;2;SC+0.016%MMS;25
273;cnb1;2;SC+0.016%MMS;25
274;cna1cnb1;2;SC+0.016%MMS;25
275;Blank;3;SC+0.016%MMS;25
276;ho;3;SC+0.016%MMS;25
277;rad14;3;SC+0.016%MMS;25
278;rev1;3;SC+0.016%MMS;25
279;mag1;3;SC+0.016%MMS;25
280;cmd1-1;3;SC+0.016%MMS;25
281;cmd1-3;3;SC+0.016%MMS;25
282;cmd1-8;3;SC+0.016%MMS;25
283;cmp2;3;SC+0.016%MMS;25
284;cna1;3;SC+0.016%MMS;25
285;cnb1;3;SC+0.016%MMS;25
286;cna1cnb1;3;SC+0.016%MMS;25
287;Blank;4;SC+0.016%MMS;25
